MaintenanceID,AssetID,Technician,ActivityType,Issue,ActionTaken,CostUSD,Date
M0108,2516,Sarah K,Inspection,None,Installed new cell,1216,2025-01-31
M0109,411,Ravi T,Replacement,Sensor Failure,Replaced Blade,924,2025-02-05
M0110,2133,Ravi T,Replacement,Loose Connection,Tightened,615,2025-06-10
M0111,1359,Grace E,Repair,Broken Blade,Replaced Blade,223,2025-09-28
M0112,2724,John L,Replacement,None,Cooling Fan Replaced,504,2025-10-04
M0113,4216,Ravi T,Replacement,Loose Connection,Rewired circuit,1900,2025-01-04
M0114,1150,John P,Replacement,Overheat,Tightened,573,2025-02-23
M0115,1680,Alex S,Replacement,Sensor Failure,Cooling Fan Replaced,1182,2025-03-25
M0116,1032,John L,Replacement,Overheat,Replaced Blade,1636,2025-09-16
M0117,863,John P,Replacement,Sensor Failure,Sensor Replaced,677,2025-08-30
M0118,3316,John P,Inspection,None,Tightened,947,2025-01-13
M0119,2612,John P,Repair,Loose Connection,Routine Check,1850,2025-01-08
M0120,4340,Ravi T,Replacement,Sensor Failure,Replaced Blade,1485,2025-04-24
M0121,4699,Alex S,Replacement,Sensor Failure,Cooling Fan Replaced,938,2025-06-25
M0122,3684,Ravi T,Repair,Voltage Spike,Tightened,372,2025-02-02
M0123,1512,John P,Replacement,Broken Blade,Sensor Replaced,1568,2025-09-29
M0124,4411,Sarah K,Repair,Broken Blade,Routine Check,206,2025-03-21
M0125,1522,Grace E,Inspection,None,Routine Check,1105,2025-03-14
M0126,4093,Maria G,Replacement,Broken Blade,Installed new cell,703,2025-02-19
M0127,4860,Anita D,Inspection,None,Cooling Fan Replaced,1970,2025-05-14
M0128,1241,Ravi T,Repair,Sensor Failure,Sensor Replaced,803,2025-07-17
M0129,3371,Anita D,Replacement,Sensor Failure,Sensor Replaced,656,2025-04-30
M0130,2011,John P,Replacement,None,Routine Check,573,2025-01-26
M0131,2734,Anita D,Replacement,Broken Blade,Tightened,189,2025-08-04
M0132,4639,Alex S,Inspection,None,Routine Check,1830,2025-03-29
M0133,434,Ravi T,Inspection,None,Routine Check,744,2025-08-08
M0134,1501,Anita D,Inspection,None,Replaced Blade,182,2025-03-28
M0135,3432,Maria G,Replacement,Sensor Failure,Tightened,1075,2025-01-07
M0136,4115,Alex S,Inspection,None,Replaced Blade,530,2025-09-11
M0137,2198,Ravi T,Repair,Sensor Failure,Cooling Fan Replaced,1689,2025-02-07
M0138,2180,John P,Inspection,None,Installed new cell,1558,2025-08-09
M0139,488,James M,Inspection,None,Tightened,146,2025-08-16
M0140,3444,Alex S,Replacement,Battery Leak,Installed new cell,1210,2025-09-27
M0141,2515,Anita D,Replacement,Battery Leak,Replaced Blade,1592,2025-10-20
M0142,4340,Alex S,Repair,Sensor Failure,Routine Check,947,2025-08-23
M0143,3190,Ravi T,Inspection,None,Routine Check,1517,2025-08-01
M0144,2285,Alex S,Replacement,None,Tightened,247,2025-07-29
M0145,2234,John P,Repair,Sensor Failure,Routine Check,1022,2025-05-28
M0146,1245,John L,Replacement,Sensor Failure,Rewired circuit,1748,2025-07-04
M0147,910,Ravi T,Repair,Loose Connection,Replaced Blade,1401,2025-10-08
M0148,2154,James M,Repair,Sensor Failure,Installed new cell,1814,2025-08-06
M0149,1377,Ravi T,Inspection,None,Tightened,1470,2025-02-05
M0150,3472,John L,Replacement,Loose Connection,Routine Check,597,2025-10-25
M0151,4851,Grace E,Replacement,Voltage Spike,Rewired circuit,331,2025-07-13
M0152,1684,John L,Repair,Broken Blade,Replaced Blade,1287,2025-01-21
M0153,1764,Anita D,Inspection,None,Routine Check,1300,2025-02-06
M0154,3491,Grace E,Inspection,None,Tightened,1347,2025-07-14
M0155,2140,James M,Replacement,Sensor Failure,Tightened,747,2025-09-14
M0156,1804,James M,Inspection,None,Replaced Blade,252,2025-07-17
M0157,3135,John P,Replacement,Battery Leak,Tightened,520,2025-02-28
M0158,2670,Maria G,Inspection,None,Cooling Fan Replaced,665,2025-03-15
M0159,3781,Maria G,Inspection,None,Rewired circuit,767,2025-10-17
M0160,3726,Tom R,Repair,Broken Blade,Installed new cell,1434,2025-03-25
M0161,1017,Alex S,Replacement,Voltage Spike,Tightened,1377,2025-09-27
M0162,3087,Grace E,Replacement,Voltage Spike,Tightened,1229,2025-03-12
M0163,4304,Grace E,Inspection,None,Tightened,1846,2025-08-09
M0164,635,James M,Replacement,Loose Connection,Routine Check,1228,2025-05-12
M0165,1371,Tom R,Inspection,None,Cooling Fan Replaced,371,2025-08-18
M0166,4847,Ravi T,Replacement,None,Replaced Blade,1164,2025-07-17
M0167,600,Anita D,Replacement,Battery Leak,Installed new cell,1140,2025-02-24
M0168,944,Maria G,Replacement,Overheat,Rewired circuit,1140,2025-01-09
M0169,4377,Tom R,Repair,Overheat,Replaced Blade,417,2025-05-07
M0170,3324,John P,Inspection,None,Tightened,1696,2025-02-06
M0171,3398,James M,Replacement,Loose Connection,Rewired circuit,1106,2025-02-05
M0172,1369,John L,Replacement,Loose Connection,Rewired circuit,455,2025-06-14
M0173,2357,John L,Inspection,None,Rewired circuit,967,2025-08-09
M0174,262,James M,Replacement,Broken Blade,Cooling Fan Replaced,1808,2025-01-13
M0175,4992,Sarah K,Repair,Voltage Spike,Cooling Fan Replaced,100,2025-10-07
M0176,4502,Tom R,Inspection,None,Routine Check,497,2025-02-01
M0177,4185,Tom R,Replacement,Sensor Failure,Routine Check,141,2025-09-11
M0178,3138,Ravi T,Repair,Overheat,Tightened,737,2025-06-30
M0179,3806,John P,Inspection,None,Cooling Fan Replaced,255,2025-09-25
M0180,3353,Grace E,Replacement,None,Installed new cell,402,2025-07-13
M0181,2817,Maria G,Inspection,None,Rewired circuit,1816,2025-08-27
M0182,4710,Grace E,Inspection,None,Cooling Fan Replaced,1499,2025-09-16
M0183,4020,Ravi T,Inspection,None,Replaced Blade,1871,2025-10-28
M0184,4018,John P,Repair,Sensor Failure,Cooling Fan Replaced,771,2025-06-12
M0185,853,Alex S,Replacement,Overheat,Routine Check,775,2025-07-21
M0186,3767,John P,Replacement,None,Tightened,1143,2025-10-22
M0187,1968,Alex S,Repair,Sensor Failure,Tightened,1429,2025-08-21
M0188,2740,Ravi T,Inspection,None,Tightened,559,2025-02-24
M0189,1214,Grace E,Inspection,None,Rewired circuit,606,2025-06-09
M0190,1595,John P,Repair,Voltage Spike,Replaced Blade,1479,2025-03-27
M0191,4488,John L,Repair,Overheat,Tightened,228,2025-03-16
M0192,4963,John L,Repair,Loose Connection,Replaced Blade,1647,2025-04-19
M0193,2169,Alex S,Replacement,None,Cooling Fan Replaced,511,2025-08-30
M0194,2199,Maria G,Inspection,None,Installed new cell,1139,2025-06-16
M0195,1972,John L,Replacement,Loose Connection,Sensor Replaced,1146,2025-02-07
M0196,4400,Alex S,Repair,Voltage Spike,Replaced Blade,361,2025-04-10
M0197,3894,Alex S,Replacement,Battery Leak,Routine Check,1449,2025-02-04
M0198,1360,Maria G,Inspection,None,Rewired circuit,1870,2025-04-01
M0199,2580,Ravi T,Replacement,Broken Blade,Replaced Blade,307,2025-06-30
M0200,185,John L,Replacement,Broken Blade,Replaced Blade,1527,2025-05-06
M0201,3862,John P,Inspection,None,Rewired circuit,1914,2025-02-20
M0202,466,Sarah K,Replacement,Battery Leak,Cooling Fan Replaced,1017,2025-04-20
M0203,4845,Maria G,Inspection,None,Cooling Fan Replaced,1007,2025-07-01
M0204,4517,John L,Repair,Overheat,Routine Check,1046,2025-07-15
M0205,1243,Maria G,Repair,Sensor Failure,Installed new cell,1229,2025-09-30
M0206,3393,Ravi T,Inspection,None,Installed new cell,486,2025-04-05
M0207,4417,Alex S,Repair,None,Sensor Replaced,1369,2025-03-11
M0208,4599,Grace E,Replacement,Loose Connection,Routine Check,1909,2025-07-26
M0209,4741,Maria G,Repair,Overheat,Rewired circuit,1819,2025-03-12
M0210,2316,Maria G,Replacement,None,Sensor Replaced,557,2025-05-30
M0211,3732,Tom R,Repair,Sensor Failure,Cooling Fan Replaced,1126,2025-05-02
M0212,4084,James M,Inspection,None,Tightened,1513,2025-01-10
M0213,2417,Sarah K,Replacement,Broken Blade,Sensor Replaced,1801,2025-07-27
M0214,1390,Anita D,Repair,Loose Connection,Replaced Blade,685,2025-01-09
M0215,3197,Sarah K,Repair,Overheat,Routine Check,1508,2025-05-13
M0216,4727,Maria G,Inspection,None,Replaced Blade,627,2025-02-23
M0217,3893,Sarah K,Inspection,None,Installed new cell,498,2025-10-15
M0218,3622,Tom R,Repair,None,Replaced Blade,870,2025-03-11
M0219,1276,Tom R,Inspection,None,Cooling Fan Replaced,212,2025-08-13
M0220,2263,John L,Repair,Loose Connection,Sensor Replaced,1651,2025-02-19
M0221,3206,Ravi T,Repair,Voltage Spike,Rewired circuit,478,2025-04-10
M0222,3505,Sarah K,Inspection,None,Rewired circuit,937,2025-08-11
M0223,2292,John L,Repair,Battery Leak,Cooling Fan Replaced,1868,2025-05-25
M0224,2292,Maria G,Repair,Broken Blade,Tightened,1076,2025-10-24
M0225,107,Anita D,Replacement,None,Sensor Replaced,585,2025-07-25
M0226,2258,John P,Inspection,None,Tightened,681,2025-01-31
M0227,1703,Sarah K,Repair,Overheat,Rewired circuit,1664,2025-05-12
M0228,3744,Alex S,Replacement,None,Sensor Replaced,1509,2025-03-01
M0229,380,Tom R,Inspection,None,Routine Check,903,2025-03-17
M0230,3101,Grace E,Inspection,None,Tightened,176,2025-03-02
M0231,1555,Maria G,Repair,Voltage Spike,Cooling Fan Replaced,807,2025-02-16
M0232,304,John P,Replacement,Voltage Spike,Replaced Blade,1572,2025-01-25
M0233,4526,Sarah K,Repair,Broken Blade,Tightened,1013,2025-08-01
M0234,4392,James M,Replacement,Sensor Failure,Rewired circuit,1046,2025-08-13
M0235,3599,John L,Inspection,None,Rewired circuit,484,2025-05-04
M0236,4851,Sarah K,Replacement,Sensor Failure,Cooling Fan Replaced,1770,2025-06-08
M0237,1905,Tom R,Repair,Battery Leak,Installed new cell,673,2025-01-12
M0238,1483,Anita D,Inspection,None,Tightened,1226,2025-07-18
M0239,3859,John L,Repair,None,Replaced Blade,1956,2025-06-19
M0240,643,Maria G,Repair,Sensor Failure,Tightened,1994,2025-07-04
M0241,4805,John P,Repair,Loose Connection,Sensor Replaced,625,2025-06-14
M0242,4873,James M,Replacement,Overheat,Sensor Replaced,636,2025-10-22
M0243,4561,John P,Inspection,None,Rewired circuit,1694,2025-05-27
M0244,4040,Grace E,Repair,Battery Leak,Tightened,985,2025-03-25
M0245,2783,Alex S,Inspection,None,Routine Check,113,2025-07-30
M0246,4297,Sarah K,Inspection,None,Rewired circuit,1925,2025-10-26
M0247,112,Tom R,Replacement,Sensor Failure,Rewired circuit,1625,2025-04-01
M0248,3444,Anita D,Inspection,None,Installed new cell,1239,2025-07-28
M0249,3626,James M,Replacement,Broken Blade,Routine Check,1279,2025-09-11
M0250,982,John L,Inspection,None,Sensor Replaced,850,2025-04-01
M0251,1958,John L,Repair,None,Tightened,375,2025-06-13
M0252,3194,Anita D,Replacement,Voltage Spike,Sensor Replaced,167,2025-05-29
M0253,4693,John L,Repair,Battery Leak,Sensor Replaced,1365,2025-05-19
M0254,56,John P,Repair,Overheat,Tightened,993,2025-09-10
M0255,4352,Anita D,Inspection,None,Sensor Replaced,952,2025-05-06
M0256,4804,James M,Replacement,Sensor Failure,Rewired circuit,266,2025-01-05
M0257,1703,Alex S,Replacement,Battery Leak,Cooling Fan Replaced,645,2025-08-25
M0258,691,Ravi T,Replacement,None,Rewired circuit,560,2025-03-25
M0259,4594,Anita D,Repair,Sensor Failure,Replaced Blade,1803,2025-03-26
M0260,4909,John L,Replacement,None,Routine Check,1509,2025-03-08
M0261,398,Alex S,Repair,Broken Blade,Routine Check,111,2025-08-08
M0262,2053,Grace E,Replacement,Battery Leak,Sensor Replaced,595,2025-08-14
M0263,648,Grace E,Inspection,None,Rewired circuit,499,2025-10-19
M0264,275,Anita D,Inspection,None,Rewired circuit,765,2025-04-06
M0265,2218,Sarah K,Replacement,Voltage Spike,Routine Check,1197,2025-05-12
M0266,1084,Ravi T,Replacement,None,Rewired circuit,1059,2025-02-28
M0267,4871,John P,Replacement,Battery Leak,Cooling Fan Replaced,1739,2025-09-16
M0268,4122,Ravi T,Inspection,None,Sensor Replaced,927,2025-01-30
M0269,4195,Anita D,Repair,Overheat,Cooling Fan Replaced,211,2025-09-25
M0270,1181,Ravi T,Inspection,None,Routine Check,605,2025-10-16
M0271,114,Ravi T,Inspection,None,Sensor Replaced,1407,2025-04-21
M0272,673,Sarah K,Repair,None,Rewired circuit,1330,2025-07-06
M0273,1580,Tom R,Repair,Loose Connection,Tightened,743,2025-01-07
M0274,3115,James M,Inspection,None,Replaced Blade,758,2025-10-10
M0275,220,Grace E,Inspection,None,Routine Check,1268,2025-04-17
M0276,975,Sarah K,Repair,Overheat,Sensor Replaced,180,2025-01-22
M0277,4507,Tom R,Repair,Loose Connection,Routine Check,1093,2025-08-03
M0278,3053,John P,Replacement,Broken Blade,Replaced Blade,695,2025-06-12
M0279,1346,Sarah K,Repair,Sensor Failure,Tightened,651,2025-04-22
M0280,4322,John L,Inspection,None,Cooling Fan Replaced,1955,2025-04-20
M0281,436,Grace E,Inspection,None,Cooling Fan Replaced,1805,2025-01-30
M0282,2145,Tom R,Replacement,Sensor Failure,Replaced Blade,1679,2025-07-23
M0283,3377,John P,Inspection,None,Tightened,1027,2025-04-20
M0284,562,John L,Replacement,Sensor Failure,Routine Check,1144,2025-10-28
M0285,1910,Maria G,Repair,Voltage Spike,Replaced Blade,979,2025-02-24
M0286,1100,James M,Inspection,None,Routine Check,1437,2025-01-24
M0287,414,Anita D,Repair,Loose Connection,Cooling Fan Replaced,1138,2025-04-25
M0288,4239,James M,Inspection,None,Routine Check,992,2025-06-19
M0289,3817,John L,Repair,None,Routine Check,765,2025-09-24
M0290,1794,Ravi T,Repair,Battery Leak,Tightened,391,2025-03-05
M0291,2025,Anita D,Replacement,Battery Leak,Replaced Blade,1528,2025-08-16
M0292,3322,Maria G,Replacement,Sensor Failure,Sensor Replaced,732,2025-06-26
M0293,1166,Ravi T,Inspection,None,Rewired circuit,1805,2025-10-27
M0294,2116,Grace E,Replacement,Battery Leak,Cooling Fan Replaced,285,2025-08-06
M0295,2258,Sarah K,Inspection,None,Tightened,592,2025-04-01
M0296,453,Maria G,Inspection,None,Sensor Replaced,1201,2025-02-12
M0297,3644,John P,Inspection,None,Tightened,468,2025-07-08
M0298,2469,Anita D,Inspection,None,Tightened,757,2025-08-28
M0299,2154,Anita D,Repair,Sensor Failure,Routine Check,108,2025-08-09
M0300,2017,John L,Inspection,None,Tightened,1658,2025-03-09
M0301,3729,Anita D,Replacement,Battery Leak,Replaced Blade,1404,2025-09-25
M0302,3538,Ravi T,Repair,None,Replaced Blade,609,2025-03-05
M0303,3267,Grace E,Replacement,Sensor Failure,Routine Check,628,2025-02-02
M0304,1591,Sarah K,Inspection,None,Sensor Replaced,592,2025-08-13
M0305,4599,Tom R,Replacement,Overheat,Cooling Fan Replaced,608,2025-03-08
M0306,2269,Alex S,Repair,Overheat,Sensor Replaced,231,2025-01-30
M0307,4505,Maria G,Repair,Voltage Spike,Routine Check,1983,2025-08-13
M0308,1211,Alex S,Inspection,None,Installed new cell,399,2025-08-11
M0309,990,Alex S,Repair,Broken Blade,Cooling Fan Replaced,592,2025-03-15
M0310,2506,John P,Repair,None,Tightened,1598,2025-03-26
M0311,4105,Alex S,Replacement,Loose Connection,Tightened,845,2025-07-13
M0312,3800,Anita D,Replacement,Overheat,Cooling Fan Replaced,1227,2025-04-22
M0313,2022,Alex S,Repair,Sensor Failure,Cooling Fan Replaced,1600,2025-04-13
M0314,3608,Sarah K,Replacement,Broken Blade,Tightened,969,2025-04-12
M0315,1962,Maria G,Replacement,Battery Leak,Cooling Fan Replaced,1302,2025-03-09
M0316,2311,Alex S,Inspection,None,Routine Check,817,2025-10-21
M0317,2750,Alex S,Replacement,None,Sensor Replaced,998,2025-03-02
M0318,4345,John L,Inspection,None,Routine Check,1510,2025-02-24
M0319,1080,Grace E,Replacement,Battery Leak,Cooling Fan Replaced,186,2025-10-27
M0320,3789,John P,Replacement,Voltage Spike,Rewired circuit,1577,2025-01-25
M0321,4064,James M,Replacement,Loose Connection,Tightened,804,2025-05-24
M0322,1180,Grace E,Inspection,None,Tightened,330,2025-09-28
M0323,3467,Anita D,Replacement,Sensor Failure,Sensor Replaced,882,2025-09-18
M0324,1229,James M,Inspection,None,Rewired circuit,1336,2025-02-24
M0325,3643,Sarah K,Replacement,None,Sensor Replaced,489,2025-10-03
M0326,4665,John L,Inspection,None,Tightened,1574,2025-10-20
M0327,2739,James M,Repair,Sensor Failure,Replaced Blade,418,2025-09-11
M0328,2317,Grace E,Inspection,None,Rewired circuit,1745,2025-09-13
M0329,3907,Alex S,Inspection,None,Tightened,1554,2025-10-17
M0330,2868,Tom R,Inspection,None,Replaced Blade,1245,2025-10-24
M0331,1391,Grace E,Inspection,None,Installed new cell,277,2025-01-26
M0332,4541,Alex S,Inspection,None,Cooling Fan Replaced,1542,2025-09-19
M0333,457,John P,Replacement,Broken Blade,Tightened,230,2025-04-10
M0334,2006,Sarah K,Inspection,None,Cooling Fan Replaced,348,2025-06-26
M0335,1590,Alex S,Repair,None,Installed new cell,1188,2025-09-05
M0336,49,Grace E,Repair,Broken Blade,Routine Check,1926,2025-07-24
M0337,2785,James M,Replacement,Sensor Failure,Replaced Blade,156,2025-10-23
M0338,919,Anita D,Inspection,None,Tightened,546,2025-09-05
M0339,631,John L,Replacement,Battery Leak,Tightened,1777,2025-09-24
M0340,1659,James M,Repair,Battery Leak,Sensor Replaced,1958,2025-03-01
M0341,4561,Grace E,Repair,Battery Leak,Cooling Fan Replaced,523,2025-07-22
M0342,1943,Maria G,Inspection,None,Tightened,119,2025-08-30
M0343,3988,Tom R,Repair,None,Rewired circuit,1147,2025-10-28
M0344,1163,Maria G,Inspection,None,Rewired circuit,1662,2025-02-18
M0345,4289,Tom R,Repair,Broken Blade,Sensor Replaced,1210,2025-08-09
M0346,2835,Sarah K,Inspection,None,Installed new cell,600,2025-06-01
M0347,2452,Anita D,Inspection,None,Rewired circuit,206,2025-10-14
M0348,4860,Ravi T,Repair,Overheat,Sensor Replaced,1379,2025-08-17
M0349,4417,James M,Replacement,Battery Leak,Routine Check,770,2025-04-22
M0350,3637,Sarah K,Replacement,Battery Leak,Tightened,855,2025-08-13
M0351,3827,Sarah K,Replacement,Broken Blade,Installed new cell,1549,2025-08-20
M0352,3847,John P,Repair,Voltage Spike,Installed new cell,537,2025-05-27
M0353,2414,Maria G,Inspection,None,Rewired circuit,1199,2025-03-28
M0354,4623,Tom R,Replacement,Broken Blade,Routine Check,829,2025-02-12
M0355,2487,Maria G,Replacement,Overheat,Installed new cell,1239,2025-01-18
M0356,3674,Tom R,Replacement,Broken Blade,Routine Check,565,2025-05-24
M0357,820,Sarah K,Replacement,Battery Leak,Sensor Replaced,1283,2025-04-12
M0358,4266,Sarah K,Replacement,Broken Blade,Sensor Replaced,943,2025-09-12
M0359,3829,John L,Replacement,Sensor Failure,Tightened,1366,2025-08-14
M0360,3104,Tom R,Inspection,None,Cooling Fan Replaced,1693,2025-08-02
M0361,3433,Ravi T,Repair,Loose Connection,Replaced Blade,1769,2025-01-24
M0362,3778,John P,Replacement,Overheat,Cooling Fan Replaced,1964,2025-08-18
