AssetID,AssetName,Location,Region,InstalledDate,CapacityKW,Status,LastMaintenanceDate
64,Panel_759,São Paulo,LATAM,2020-04-30,269.57,Inactive,2025-09-02
65,Generator_216,Paris,EU,2020-02-03,566.41,Active,2025-02-19
66,Generator_719,São Paulo,LATAM,2018-09-21,467.6,Inactive,2025-05-31
67,Turbine_370,Sydney,APAC,2018-07-25,595.94,Maintenance,2025-07-17
68,Battery_803,Buenos Aires,LATAM,2020-05-14,441.95,Maintenance,2025-02-15
69,Battery_528,London,UK,2018-02-07,249.1,Active,2025-08-29
70,Battery_442,London,UK,2020-07-12,405.79,Maintenance,2025-06-03
71,Generator_281,Berlin,EU,2021-09-13,567.59,Inactive,2025-03-30
72,Generator_126,Sydney,APAC,2021-02-11,148.83,Inactive,2025-04-10
73,Generator_280,London,UK,2023-04-05,398.41,Maintenance,2025-08-09
74,Turbine_305,Tokyo,APAC,2020-06-22,596.01,Inactive,2025-02-02
75,Panel_429,Sydney,APAC,2021-03-02,182.84,Inactive,2025-05-22
76,Panel_347,Madrid,EU,2019-08-24,546.65,Inactive,2025-05-04
77,Battery_500,London,UK,2019-12-12,379.77,Maintenance,2025-04-10
78,Turbine_859,New York,NA,2024-05-28,443.51,Active,2025-06-08
79,Turbine_397,Paris,EU,2023-10-25,388.05,Maintenance,2025-08-17
80,Turbine_150,New York,NA,2023-02-14,299.76,Maintenance,2025-06-20
81,Battery_282,New York,NA,2020-07-03,570.4,Inactive,2025-01-09
82,Generator_646,Sydney,APAC,2017-04-02,504.3,Maintenance,2025-04-03
83,Turbine_719,Sydney,APAC,2017-06-07,401.13,Maintenance,2025-09-06
84,Panel_738,Tokyo,APAC,2024-07-20,85.65,Inactive,2025-07-10
85,Panel_288,Paris,EU,2019-09-28,89.29,Inactive,2025-06-02
86,Generator_786,Tokyo,APAC,2023-10-13,313.68,Maintenance,2025-08-16
87,Panel_465,London,UK,2021-10-09,146.3,Active,2025-09-04
88,Generator_897,São Paulo,LATAM,2020-10-30,329.67,Inactive,2025-09-08
89,Panel_343,Toronto,NA,2022-09-04,329.66,Active,2025-02-18
90,Turbine_422,São Paulo,LATAM,2020-02-07,332.02,Inactive,2025-06-26
91,Generator_316,New York,NA,2019-12-24,71.71,Maintenance,2025-07-02
92,Battery_547,Madrid,EU,2019-08-12,309.82,Active,2025-05-19
93,Generator_539,London,UK,2017-12-29,333.86,Inactive,2025-01-11
94,Battery_399,Manchester,UK,2023-01-04,445.12,Active,2025-04-28
95,Panel_704,London,UK,2018-11-12,334.65,Maintenance,2025-08-14
96,Panel_609,London,UK,2019-08-02,167.63,Active,2025-05-11
97,Turbine_318,London,UK,2022-02-14,242.2,Maintenance,2025-10-18
98,Panel_890,Manchester,UK,2020-08-24,339.84,Active,2025-01-30
99,Turbine_628,Madrid,EU,2019-01-05,486.78,Inactive,2025-03-18
100,Panel_753,São Paulo,LATAM,2022-11-18,429.79,Active,2025-09-29
101,Panel_406,London,UK,2020-11-22,587.01,Maintenance,2025-08-08
102,Turbine_812,Sydney,APAC,2020-12-04,349.52,Inactive,2025-10-09
103,Turbine_808,Toronto,NA,2018-07-02,543.7,Maintenance,2025-01-10
104,Battery_554,Paris,EU,2023-05-11,472.14,Maintenance,2025-04-19
105,Turbine_736,New York,NA,2022-03-02,60.87,Inactive,2025-04-25
106,Panel_187,Berlin,EU,2024-04-04,231.52,Active,2025-07-11
107,Turbine_489,Madrid,EU,2019-06-04,577.45,Active,2025-08-08
108,Battery_502,Toronto,NA,2023-03-23,402.32,Inactive,2025-08-31
109,Battery_437,London,UK,2021-07-25,387.52,Active,2025-08-21
110,Battery_563,Toronto,NA,2022-05-08,246.64,Active,2025-07-20
111,Battery_831,Buenos Aires,LATAM,2018-06-29,502.67,Inactive,2025-05-21
112,Battery_637,Sydney,APAC,2024-09-01,560.78,Inactive,2025-09-22
113,Panel_703,London,UK,2019-09-05,380.8,Active,2025-07-16
114,Turbine_160,New York,NA,2023-05-31,531.5,Maintenance,2025-03-03
115,Panel_684,Sydney,APAC,2017-07-15,354.09,Inactive,2025-01-17
116,Turbine_281,Sydney,APAC,2021-01-18,445.54,Inactive,2025-06-15
117,Panel_460,Tokyo,APAC,2018-03-19,365.98,Maintenance,2025-01-05
118,Battery_455,New York,NA,2024-07-02,530.69,Active,2025-02-16
119,Turbine_836,São Paulo,LATAM,2020-09-11,312.81,Maintenance,2025-10-17
120,Panel_348,Madrid,EU,2021-05-03,407.83,Active,2025-07-31
121,Generator_501,London,UK,2022-04-07,498.38,Active,2025-03-28
122,Panel_188,Manchester,UK,2020-08-20,90.79,Active,2025-06-24
123,Turbine_832,Buenos Aires,LATAM,2021-05-16,316.5,Active,2025-10-07
124,Generator_836,Toronto,NA,2022-04-29,453.17,Inactive,2025-05-08
125,Panel_994,New York,NA,2021-07-18,590.5,Maintenance,2025-05-16
126,Generator_807,Manchester,UK,2020-11-28,573.12,Inactive,2025-07-26
127,Generator_163,Sydney,APAC,2021-12-18,245.0,Inactive,2025-09-13
128,Battery_632,Manchester,UK,2022-07-23,121.09,Active,2025-10-10
129,Panel_201,São Paulo,LATAM,2024-07-30,271.49,Active,2025-04-13
130,Battery_853,Toronto,NA,2022-11-07,150.28,Inactive,2025-10-24
131,Generator_901,Sydney,APAC,2024-06-11,392.44,Maintenance,2025-01-25
132,Panel_896,Madrid,EU,2020-07-08,428.32,Active,2025-08-21
133,Battery_569,Berlin,EU,2020-04-01,477.39,Maintenance,2025-09-22
134,Panel_127,São Paulo,LATAM,2021-07-21,55.44,Active,2025-08-17
135,Generator_364,New York,NA,2017-06-20,208.21,Inactive,2025-08-17
136,Panel_858,Manchester,UK,2021-03-23,481.97,Active,2025-03-02
137,Panel_844,Berlin,EU,2020-11-04,227.61,Inactive,2025-06-03
138,Turbine_692,São Paulo,LATAM,2021-03-18,348.93,Inactive,2025-04-06
139,Turbine_785,Paris,EU,2017-01-20,126.53,Active,2025-01-17
140,Battery_882,Toronto,NA,2018-05-16,510.89,Active,2025-07-25
141,Battery_536,São Paulo,LATAM,2022-04-07,224.05,Maintenance,2025-03-31
142,Turbine_700,Buenos Aires,LATAM,2023-11-01,214.38,Inactive,2025-04-24
143,Turbine_806,Buenos Aires,LATAM,2021-11-30,179.65,Inactive,2025-06-09
144,Generator_809,Sydney,APAC,2024-03-03,342.92,Active,2025-02-06
145,Turbine_694,Paris,EU,2019-06-06,478.7,Inactive,2025-10-19
146,Generator_598,London,UK,2020-02-11,543.16,Inactive,2025-06-28
147,Turbine_422,Buenos Aires,LATAM,2017-04-13,391.93,Inactive,2025-07-19
148,Generator_638,Sydney,APAC,2022-09-15,421.74,Inactive,2025-06-14
149,Generator_609,London,UK,2017-08-21,61.21,Active,2025-08-29
150,Turbine_110,Toronto,NA,2017-03-31,169.68,Active,2025-10-23
151,Battery_432,Madrid,EU,2022-07-09,590.31,Inactive,2025-02-16
152,Turbine_243,Buenos Aires,LATAM,2020-06-16,464.58,Maintenance,2025-08-18
153,Generator_509,Toronto,NA,2022-07-27,129.57,Maintenance,2025-08-06
154,Generator_783,Sydney,APAC,2017-06-26,342.65,Active,2025-01-04
155,Turbine_721,New York,NA,2023-11-04,259.23,Active,2025-08-08
156,Turbine_411,Manchester,UK,2021-04-30,181.77,Active,2025-07-20
157,Generator_584,São Paulo,LATAM,2019-07-28,164.81,Maintenance,2025-08-18
158,Generator_395,Buenos Aires,LATAM,2018-12-12,544.38,Active,2025-10-03
159,Generator_864,Toronto,NA,2022-05-07,336.71,Inactive,2025-05-27
160,Generator_296,Sydney,APAC,2018-07-16,375.7,Maintenance,2025-08-02
161,Battery_753,New York,NA,2019-03-10,244.28,Active,2025-05-18
162,Panel_152,Toronto,NA,2022-08-12,522.9,Maintenance,2025-08-16
163,Turbine_545,New York,NA,2023-11-04,148.5,Inactive,2025-07-09
164,Panel_405,Toronto,NA,2018-09-18,324.6,Active,2025-07-06
165,Battery_355,Tokyo,APAC,2020-01-29,282.45,Inactive,2025-07-17
166,Turbine_764,Berlin,EU,2021-12-27,110.02,Active,2025-06-21
167,Turbine_908,Toronto,NA,2024-02-10,83.04,Active,2025-09-25
168,Generator_699,Sydney,APAC,2024-08-11,451.69,Active,2025-02-26
169,Battery_991,Toronto,NA,2024-07-07,599.57,Active,2025-06-25
170,Battery_586,Paris,EU,2017-08-21,268.32,Active,2025-07-15
171,Battery_292,Buenos Aires,LATAM,2017-12-09,343.33,Inactive,2025-05-08
172,Turbine_244,São Paulo,LATAM,2018-05-17,53.25,Active,2025-04-30
173,Generator_390,Sydney,APAC,2019-07-25,512.52,Active,2025-09-16
174,Generator_300,Berlin,EU,2019-01-15,566.83,Maintenance,2025-02-10
175,Battery_607,Tokyo,APAC,2024-01-29,170.06,Inactive,2025-02-27
176,Generator_720,London,UK,2017-04-24,248.03,Active,2025-01-26
177,Turbine_110,Sydney,APAC,2022-06-07,518.39,Inactive,2025-09-13
178,Generator_590,Paris,EU,2019-10-04,198.47,Inactive,2025-02-06
179,Generator_639,Manchester,UK,2023-03-31,371.4,Inactive,2025-06-10
180,Generator_232,Madrid,EU,2022-12-18,541.71,Active,2025-08-23
181,Turbine_967,Tokyo,APAC,2017-05-02,400.72,Inactive,2025-06-12
182,Generator_227,São Paulo,LATAM,2020-11-04,310.98,Inactive,2025-02-24
183,Battery_250,Toronto,NA,2019-02-27,164.95,Inactive,2025-04-30
184,Generator_961,São Paulo,LATAM,2022-09-14,515.23,Active,2025-07-24
185,Generator_690,Manchester,UK,2022-03-12,508.24,Active,2025-02-22
186,Turbine_765,Buenos Aires,LATAM,2023-10-23,316.59,Active,2025-04-01
187,Generator_844,Manchester,UK,2018-05-29,559.67,Maintenance,2025-09-24
188,Turbine_601,Buenos Aires,LATAM,2023-08-16,352.56,Maintenance,2025-08-29
189,Panel_202,Toronto,NA,2024-05-04,318.74,Inactive,2025-06-15
190,Battery_499,New York,NA,2020-02-27,587.14,Active,2025-08-20
191,Turbine_717,Manchester,UK,2018-12-13,163.91,Inactive,2025-03-04
192,Turbine_297,London,UK,2023-10-17,389.78,Active,2025-05-18
193,Panel_178,New York,NA,2019-12-11,387.89,Maintenance,2025-07-31
194,Panel_604,Toronto,NA,2024-03-26,290.13,Inactive,2025-04-08
195,Panel_575,London,UK,2020-09-12,167.05,Inactive,2025-10-22
196,Turbine_727,Toronto,NA,2022-10-15,478.44,Active,2025-03-08
197,Generator_207,Buenos Aires,LATAM,2022-01-22,76.26,Active,2025-04-19
198,Panel_505,London,UK,2023-07-06,513.89,Maintenance,2025-08-31
199,Panel_703,Sydney,APAC,2021-10-03,586.28,Maintenance,2025-03-27
200,Turbine_127,Sydney,APAC,2022-06-20,315.53,Maintenance,2025-03-05
201,Generator_110,Sydney,APAC,2022-06-24,578.12,Inactive,2025-02-02
202,Generator_460,Tokyo,APAC,2018-05-13,93.65,Maintenance,2025-01-29
203,Generator_369,Berlin,EU,2019-06-05,60.09,Inactive,2025-02-12
204,Panel_846,São Paulo,LATAM,2020-08-23,564.64,Inactive,2025-06-08
205,Turbine_187,Tokyo,APAC,2021-09-24,148.14,Inactive,2025-09-18
206,Generator_521,Buenos Aires,LATAM,2024-08-15,318.35,Inactive,2025-02-28
207,Turbine_450,London,UK,2021-09-16,100.79,Maintenance,2025-08-24
208,Battery_877,London,UK,2023-04-03,292.72,Maintenance,2025-09-12
209,Turbine_975,London,UK,2019-05-22,276.98,Active,2025-03-18
210,Turbine_777,Buenos Aires,LATAM,2017-12-18,303.87,Active,2025-08-17
211,Generator_719,Sydney,APAC,2018-08-17,598.29,Maintenance,2025-10-16
212,Panel_166,London,UK,2018-06-02,379.42,Maintenance,2025-04-17
213,Generator_629,Buenos Aires,LATAM,2020-09-18,220.24,Active,2025-05-23
214,Turbine_198,New York,NA,2017-07-17,118.11,Active,2025-05-27
215,Panel_750,Buenos Aires,LATAM,2023-11-12,433.35,Maintenance,2025-06-25
216,Battery_723,Buenos Aires,LATAM,2018-08-04,386.18,Inactive,2025-04-18
217,Panel_726,Madrid,EU,2017-06-12,478.31,Maintenance,2025-06-11
218,Panel_927,Manchester,UK,2017-12-08,516.97,Maintenance,2025-05-13
219,Panel_346,Toronto,NA,2021-11-06,330.42,Maintenance,2025-08-11
220,Battery_716,Toronto,NA,2017-05-10,124.95,Maintenance,2025-01-27
221,Battery_493,Tokyo,APAC,2020-04-07,442.36,Inactive,2025-09-28
222,Turbine_785,Sydney,APAC,2024-03-14,194.3,Active,2025-06-08
223,Panel_383,Buenos Aires,LATAM,2018-04-09,473.08,Maintenance,2025-02-07
224,Generator_893,Paris,EU,2017-05-10,526.97,Active,2025-01-30
225,Turbine_767,Toronto,NA,2024-05-24,421.55,Active,2025-06-27
226,Panel_997,Sydney,APAC,2023-05-31,108.44,Inactive,2025-02-28
227,Turbine_283,Madrid,EU,2023-08-10,513.83,Inactive,2025-08-30
228,Generator_435,Buenos Aires,LATAM,2018-10-13,131.43,Active,2025-02-17
229,Battery_805,Manchester,UK,2024-01-09,359.11,Maintenance,2025-01-28
230,Panel_948,Madrid,EU,2019-06-03,162.94,Active,2025-07-29
231,Battery_895,Sydney,APAC,2021-03-26,542.9,Maintenance,2025-04-10
232,Generator_306,Paris,EU,2020-06-04,109.84,Inactive,2025-03-24
233,Panel_954,Paris,EU,2018-02-12,507.52,Active,2025-04-17
234,Turbine_343,New York,NA,2022-01-21,372.67,Maintenance,2025-04-02
235,Generator_846,Toronto,NA,2021-05-24,510.67,Inactive,2025-07-07
236,Battery_619,Paris,EU,2017-02-02,394.38,Active,2025-08-04
237,Generator_295,São Paulo,LATAM,2022-01-05,150.53,Maintenance,2025-05-23
238,Panel_661,São Paulo,LATAM,2020-09-05,527.14,Maintenance,2025-05-12
239,Generator_686,New York,NA,2017-04-29,397.53,Maintenance,2025-02-10
240,Battery_417,Buenos Aires,LATAM,2024-01-22,59.99,Active,2025-08-12
241,Turbine_478,São Paulo,LATAM,2023-12-03,53.25,Active,2025-08-28
242,Battery_498,Manchester,UK,2021-09-15,338.57,Maintenance,2025-02-17
243,Battery_833,London,UK,2022-01-12,526.96,Active,2025-05-31
244,Panel_760,New York,NA,2020-07-23,371.74,Active,2025-03-31
245,Battery_133,Madrid,EU,2024-08-02,471.77,Inactive,2025-09-06
246,Panel_433,Sydney,APAC,2021-12-20,470.22,Active,2025-02-25
247,Panel_661,London,UK,2017-11-09,66.67,Inactive,2025-10-21
248,Panel_240,New York,NA,2018-06-19,332.64,Maintenance,2025-02-09
249,Generator_620,Sydney,APAC,2022-05-13,273.08,Inactive,2025-07-05
250,Panel_350,New York,NA,2022-06-11,160.16,Maintenance,2025-07-22
251,Battery_442,London,UK,2018-08-16,311.38,Inactive,2025-10-22
252,Generator_690,Berlin,EU,2020-03-31,282.06,Inactive,2025-06-06
253,Battery_975,Sydney,APAC,2022-02-12,54.8,Maintenance,2025-04-21
254,Battery_852,Buenos Aires,LATAM,2018-09-27,451.84,Maintenance,2025-04-04
255,Turbine_803,Tokyo,APAC,2022-11-05,224.76,Maintenance,2025-09-15
256,Generator_139,Madrid,EU,2020-03-12,231.26,Maintenance,2025-01-24
257,Battery_525,São Paulo,LATAM,2023-05-12,383.63,Inactive,2025-07-14
258,Turbine_999,Toronto,NA,2024-08-17,597.47,Maintenance,2025-10-22
259,Panel_548,London,UK,2024-05-04,158.49,Active,2025-02-05
260,Generator_447,New York,NA,2022-10-03,335.97,Inactive,2025-05-28
261,Battery_326,Buenos Aires,LATAM,2024-07-28,590.29,Inactive,2025-07-25
262,Turbine_623,New York,NA,2022-08-25,428.82,Maintenance,2025-08-23
263,Turbine_979,Tokyo,APAC,2022-07-02,168.91,Inactive,2025-03-18
264,Turbine_668,Madrid,EU,2017-10-01,244.81,Inactive,2025-05-20
265,Turbine_779,London,UK,2022-02-03,142.28,Maintenance,2025-05-30
266,Panel_960,Buenos Aires,LATAM,2018-02-28,126.6,Maintenance,2025-08-14
267,Battery_998,London,UK,2024-07-19,94.98,Active,2025-03-06
268,Turbine_347,Buenos Aires,LATAM,2023-07-24,174.37,Active,2025-03-21
269,Battery_962,New York,NA,2018-07-21,257.71,Inactive,2025-07-10
270,Battery_224,Toronto,NA,2019-05-27,402.08,Maintenance,2025-09-08
271,Generator_359,Madrid,EU,2019-12-05,169.83,Maintenance,2025-04-15
272,Generator_676,Paris,EU,2018-09-28,475.9,Active,2025-10-22
273,Battery_928,Berlin,EU,2023-06-04,129.43,Active,2025-02-02
274,Battery_538,São Paulo,LATAM,2023-09-01,453.18,Active,2025-04-01
275,Turbine_392,São Paulo,LATAM,2018-10-21,87.0,Inactive,2025-10-13
276,Generator_950,Madrid,EU,2023-04-11,381.79,Inactive,2025-08-31
277,Generator_669,New York,NA,2022-10-29,415.76,Maintenance,2025-09-02
278,Battery_351,Tokyo,APAC,2020-07-14,167.67,Inactive,2025-05-09
279,Generator_488,Paris,EU,2018-08-09,568.59,Maintenance,2025-03-11
280,Turbine_546,Berlin,EU,2021-07-26,133.38,Inactive,2025-06-11
281,Generator_724,Sydney,APAC,2024-01-16,550.72,Active,2025-04-21
282,Panel_936,Manchester,UK,2019-04-03,295.61,Active,2025-05-08
283,Panel_356,Toronto,NA,2022-03-25,542.08,Maintenance,2025-03-30
284,Panel_691,London,UK,2023-08-29,563.77,Maintenance,2025-09-02
285,Turbine_669,Paris,EU,2021-07-04,402.1,Maintenance,2025-07-20
286,Generator_259,London,UK,2022-04-26,159.73,Inactive,2025-03-27
287,Generator_568,São Paulo,LATAM,2017-01-10,59.94,Inactive,2025-07-16
288,Turbine_985,Madrid,EU,2019-09-05,491.18,Maintenance,2025-07-26
289,Panel_787,Paris,EU,2023-11-05,250.85,Active,2025-06-27
290,Turbine_754,London,UK,2020-01-15,176.94,Inactive,2025-02-13
291,Turbine_703,New York,NA,2020-09-24,203.96,Active,2025-05-05
292,Panel_831,New York,NA,2024-06-25,539.47,Active,2025-03-15
293,Generator_131,Sydney,APAC,2021-02-15,104.47,Active,2025-02-10
294,Panel_958,Sydney,APAC,2022-02-12,557.78,Inactive,2025-08-27
295,Turbine_890,New York,NA,2021-12-20,193.89,Inactive,2025-09-13
296,Turbine_721,São Paulo,LATAM,2018-07-11,599.28,Inactive,2025-08-12
297,Panel_752,London,UK,2018-01-20,69.33,Active,2025-07-16
298,Turbine_114,Berlin,EU,2021-05-01,286.94,Inactive,2025-09-18
299,Turbine_419,Madrid,EU,2022-04-01,161.34,Active,2025-03-26
300,Panel_311,Paris,EU,2019-04-06,334.07,Maintenance,2025-09-09
301,Battery_532,Sydney,APAC,2021-08-06,141.74,Inactive,2025-02-21
302,Generator_906,New York,NA,2019-01-13,255.56,Inactive,2025-04-11
303,Battery_868,London,UK,2021-06-13,429.65,Inactive,2025-09-15
304,Panel_718,New York,NA,2021-06-16,278.98,Active,2025-07-10
305,Generator_771,London,UK,2017-12-27,192.52,Inactive,2025-07-21
306,Panel_982,Buenos Aires,LATAM,2021-03-06,550.71,Maintenance,2025-05-07
307,Battery_325,Tokyo,APAC,2022-03-30,360.49,Maintenance,2025-02-26
308,Turbine_623,New York,NA,2019-10-01,254.59,Inactive,2025-06-02
309,Panel_507,São Paulo,LATAM,2022-10-06,439.63,Active,2025-06-27
310,Generator_292,Paris,EU,2021-05-04,233.38,Maintenance,2025-06-29
311,Turbine_618,Manchester,UK,2018-10-03,592.64,Active,2025-08-03
312,Panel_151,Paris,EU,2018-10-29,543.41,Active,2025-06-21
313,Battery_503,Paris,EU,2017-05-29,262.47,Inactive,2025-10-27
314,Generator_228,Buenos Aires,LATAM,2021-08-08,361.2,Maintenance,2025-03-29
315,Generator_772,Tokyo,APAC,2018-04-29,156.58,Active,2025-04-10
316,Battery_718,São Paulo,LATAM,2024-07-03,522.22,Maintenance,2025-09-12
317,Battery_400,São Paulo,LATAM,2023-06-10,575.28,Maintenance,2025-05-02
318,Generator_653,Toronto,NA,2017-02-25,481.61,Active,2025-01-18
319,Battery_306,Manchester,UK,2020-04-25,166.8,Maintenance,2025-02-24
320,Turbine_875,Manchester,UK,2018-03-07,64.16,Inactive,2025-10-02
321,Generator_628,São Paulo,LATAM,2021-08-08,381.77,Active,2025-03-15
322,Battery_704,Sydney,APAC,2024-08-25,333.35,Maintenance,2025-09-13
323,Generator_743,Buenos Aires,LATAM,2017-08-14,580.33,Maintenance,2025-07-27
324,Battery_127,New York,NA,2018-04-09,597.62,Inactive,2025-07-05
325,Battery_445,London,UK,2021-06-06,142.86,Maintenance,2025-04-17
326,Battery_446,New York,NA,2021-05-02,547.91,Inactive,2025-08-03
327,Turbine_410,Sydney,APAC,2022-06-14,454.3,Active,2025-08-04
328,Turbine_581,New York,NA,2021-05-15,285.61,Inactive,2025-03-28
329,Turbine_607,New York,NA,2023-07-25,146.52,Inactive,2025-06-22
330,Generator_408,Manchester,UK,2020-12-07,66.17,Maintenance,2025-06-12
331,Battery_949,Madrid,EU,2021-08-30,510.96,Active,2025-10-19
332,Battery_741,Tokyo,APAC,2023-12-25,61.12,Maintenance,2025-04-29
333,Battery_925,Sydney,APAC,2017-05-19,176.3,Active,2025-01-02
334,Turbine_307,Manchester,UK,2020-09-08,420.52,Active,2025-07-13
335,Generator_279,Toronto,NA,2020-12-19,468.48,Maintenance,2025-06-03
336,Panel_756,Toronto,NA,2024-05-21,203.16,Active,2025-07-22
337,Generator_811,Sydney,APAC,2017-05-27,454.29,Inactive,2025-10-06
338,Turbine_163,Buenos Aires,LATAM,2022-10-21,542.65,Maintenance,2025-07-08
339,Generator_882,Sydney,APAC,2018-07-01,192.61,Maintenance,2025-09-24
340,Turbine_990,Manchester,UK,2018-11-08,387.05,Inactive,2025-04-07
341,Panel_686,Madrid,EU,2020-03-11,225.93,Maintenance,2025-02-17
342,Turbine_129,Manchester,UK,2023-10-11,121.79,Maintenance,2025-07-20
343,Turbine_605,Paris,EU,2022-04-24,374.63,Maintenance,2025-03-16
344,Battery_702,London,UK,2018-09-20,342.29,Active,2025-01-08
345,Battery_960,Buenos Aires,LATAM,2018-08-06,320.25,Active,2025-03-02
346,Battery_415,Buenos Aires,LATAM,2018-06-05,476.65,Active,2025-03-03
347,Panel_137,Buenos Aires,LATAM,2018-11-13,464.41,Inactive,2025-09-15
348,Panel_926,São Paulo,LATAM,2018-07-26,503.21,Inactive,2025-01-04
349,Panel_338,New York,NA,2023-10-17,301.35,Maintenance,2025-05-31
350,Battery_440,São Paulo,LATAM,2018-10-03,244.9,Maintenance,2025-08-16
351,Generator_284,New York,NA,2019-07-05,466.44,Maintenance,2025-08-23
352,Battery_453,Manchester,UK,2022-04-04,555.65,Inactive,2025-05-29
353,Turbine_261,São Paulo,LATAM,2020-12-01,250.82,Inactive,2025-01-27
